# Program names found on more than one Graduate Studies page, 2026-09-14
program	pages	urls
Chemistry	13	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/prospective-grad-students.html https://www.csueastbay.edu/graduate-studies/current-grad-students.html https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/graduate-student-handbook/grad-handbook-requirements.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition.html https://www.csueastbay.edu/graduate-studies/graduate-study-completion.html https://www.csueastbay.edu/graduate-studies/graduate-student-ambassadors.html https://www.csueastbay.edu/graduate-studies/fast-program-details.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2025.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2024.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2023.html
Business Analytics	12	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/prospective-grad-students.html https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/graduate-events.html https://www.csueastbay.edu/graduate-studies/fast-programs.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition.html https://www.csueastbay.edu/graduate-studies/graduate-student-ambassadors.html https://www.csueastbay.edu/graduate-studies/fast-program-details.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2025.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2024.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2023.html
Computer Science	11	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/prospective-grad-students.html https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/fast-programs.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/graduate-opportunities.html https://www.csueastbay.edu/graduate-studies/graduate-student-ambassadors.html https://www.csueastbay.edu/graduate-studies/fast-program-details.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2025.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2024.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2023.html
History	11	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/prospective-grad-students.html https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/fast-programs.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition.html https://www.csueastbay.edu/graduate-studies/graduate-student-ambassadors.html https://www.csueastbay.edu/graduate-studies/fast-program-details.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2025.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2024.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2023.html
Kinesiology	10	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/prospective-grad-students.html https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/fast-programs.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition.html https://www.csueastbay.edu/graduate-studies/graduate-opportunities.html https://www.csueastbay.edu/graduate-studies/fast-program-details.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2025.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2023.html
Social Work	10	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/prospective-grad-students.html https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition.html https://www.csueastbay.edu/graduate-studies/graduate-opportunities.html https://www.csueastbay.edu/graduate-studies/graduate-student-ambassadors.html https://www.csueastbay.edu/graduate-studies/graduate-program-infosessions.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2024.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2023.html
Biological Sciences	9	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/prospective-grad-students.html https://www.csueastbay.edu/graduate-studies/fast-programs.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition.html https://www.csueastbay.edu/graduate-studies/fast-program-details.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2025.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2024.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2023.html
Mathematics	8	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/prospective-grad-students.html https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/fast-programs.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/graduate-opportunities.html https://www.csueastbay.edu/graduate-studies/fast-program-details.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2025.html
Statistics	8	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/prospective-grad-students.html https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/fast-programs.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/graduate-student-ambassadors.html https://www.csueastbay.edu/graduate-studies/fast-program-details.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2025.html
Educational Leadership	7	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/prospective-grad-students.html https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/graduate-student-handbook/grad-handbook-requirements.html https://www.csueastbay.edu/graduate-studies/graduate-student-ambassadors.html https://www.csueastbay.edu/graduate-studies/graduate-program-infosessions.html
