# Graduate Studies tile destinations, opened 2026-09-14
group	tile	url	status	landed on	page title	page heading	notes
master's	Accountancy	https://www.csueastbay.edu/msa/index.html	200	https://www.csueastbay.edu/msa/index.html	Master of Science in Accountancy	California State University, East Bay-Master of Science in Accountancy	
master's	Biological Sciences	https://www.csueastbay.edu/biology/graduate-program/biology-ms-program/index.html	200	https://www.csueastbay.edu/biology/graduate-program/biology-ms-program/index.html	GRADUATE PROGRAMS	GRADUATE PROGRAMS	
master's	MBA Business Administration	https://www.csueastbay.edu/mba/index.html	200	https://www.csueastbay.edu/mba/index.html	Master of Business Administration- College of Business and Economics | CSUEB	California State University, East Bay-Master of Business Administration	
master's	Business Analytics	https://www.csueastbay.edu/msba/index.html	200	https://www.csueastbay.edu/msba/index.html	Master of Science in Business Analytics- College of Business & Economics | CSUEB	California State University, East Bay-Master of Science in Business Analytics	
master's	Chemistry	https://www.csueastbay.edu/chemistry/graduate/index.html	200	https://www.csueastbay.edu/chemistry/graduate/index.html	Master of Science in Chemistry	Graduate Programs	
master's	Computer Science	https://www.csueastbay.edu/cs/degrees-programs1/index.html	200	https://www.csueastbay.edu/cs/degrees-programs1/index.html	Computer Science Degrees	Computer Science Degrees	
master's	Construction Management	https://www.csueastbay.edu/engineering/programs-degrees/graduate-degrees.html	200	https://www.csueastbay.edu/engineering/programs-degrees/graduate-degrees.html	GRADUATE DEGREES	GRADUATE DEGREES	url shared by 2 tiles
master's	Counseling	https://www.csueastbay.edu/epsy/graduate-programs/index.html	200	https://www.csueastbay.edu/epsy/graduate-programs/index.html	Graduate Programs	Graduate Programs	
master's	Curriculum & Instruction	https://www.csueastbay.edu/ted/programs-admissions/masters/index.html	200	https://www.csueastbay.edu/ted/programs-admissions/masters/index.html	Master's Degree	Master's Degree	url shared by 3 tiles
master's	Early Childhood Education	https://www.csueastbay.edu/ted/programs-admissions/masters/index.html	200	https://www.csueastbay.edu/ted/programs-admissions/masters/index.html	Master's Degree	Master's Degree	url shared by 3 tiles
master's	Educational Leadership	https://www.csueastbay.edu/el/programs/master-in-el.html	200	https://www.csueastbay.edu/el/programs/master-in-el.html	Masters in Educational Leadership	Masters in Educational Leadership	
master's	Educational Technology	https://www.csueastbay.edu/ted/programs-admissions/masters/index.html	200	https://www.csueastbay.edu/ted/programs-admissions/masters/index.html	Master's Degree	Master's Degree	url shared by 3 tiles
master's	Engineering Management	https://www.csueastbay.edu/engineering/programs-degrees/graduate-degrees.html	200	https://www.csueastbay.edu/engineering/programs-degrees/graduate-degrees.html	GRADUATE DEGREES	GRADUATE DEGREES	url shared by 2 tiles
master's	Environmental Geosciences	https://www.csueastbay.edu/earth/graduate-program/index.html	200	https://www.csueastbay.edu/earth/graduate-program/index.html	Graduate Program	Graduate Program	
master's	Health Care Administration	https://www.csueastbay.edu/paa/healthcare/index.html	200	https://www.csueastbay.edu/paa/healthcare/index.html	Master's of Science Health Care Administration Program	Master's of Science Health Care Administration Program	
master's	History	https://www.csueastbay.edu/history/degree-programs/ma-degree-programs_new.html	200	https://www.csueastbay.edu/history/degree-programs/ma-degree-programs_new.html			
master's	Hospitality, Recreation, & Tourism	https://www.csueastbay.edu/hrt/grad/index.html	200	https://www.csueastbay.edu/hrt/grad/index.html	M.S. in Hospitality, Recreation and Tourism	M.S. in Hospitality, Recreation and Tourism	
master's	Interaction Design	https://ixdia.org	200	https://ixdia.org/	IxDIA â Master of Arts in Interaction Design and Interactive Art	Interaction Design and Interactive Art	off the university domain
master's	Kinesiology	https://www.csueastbay.edu/kin/programs/ms-kinesiology.html	200	https://www.csueastbay.edu/kin/programs/ms-kinesiology.html	M.S. Kinesiology: Sport, exercise, and human movement	M.S. Kinesiology: Sport, exercise, and human movement	
master's	Marine Science	https://www.csueastbay.edu/biology/graduate-program/ms-in-marine-sciences.html	200	https://www.csueastbay.edu/biology/graduate-program/ms-in-marine-sciences.html	MS in Marine Sciences	MS in Marine Sciences	
master's	Marketing Analytics	https://www.csueastbay.edu/msma/index.html	200	https://www.csueastbay.edu/msma/index.html	Master of Science in Marketing Analytics- College of Business & Economics | CSUEB	Master of Science in Marketing Analytics	
master's	Mathematics	https://www.csueastbay.edu/math/degrees-and-programs/index.html	200	https://www.csueastbay.edu/math/degrees-and-programs/index.html	CSUEB Math Degrees and Programs	Degrees & Programs	url shared by 2 tiles
master's	Music	https://www.csueastbay.edu/music/prospective/ma.html	200	https://www.csueastbay.edu/music/prospective/ma.html	M.A. in Music	M.A. in Music	
master's	Nursing	https://www.csueastbay.edu/nursing/msn-programs/index.html	200	https://www.csueastbay.edu/nursing/msn-programs/index.html	MSN Program	MSN Program	
