group	tile	url
master's	Accountancy	https://www.csueastbay.edu/msa/index.html
master's	Biological Sciences	https://www.csueastbay.edu/biology/graduate-program/biology-ms-program/index.html
master's	MBA Business Administration	https://www.csueastbay.edu/mba/index.html
master's	Business Analytics	https://www.csueastbay.edu/msba/index.html
master's	Chemistry	https://www.csueastbay.edu/chemistry/graduate/index.html
master's	Computer Science	https://www.csueastbay.edu/cs/degrees-programs1/index.html
master's	Construction Management	https://www.csueastbay.edu/engineering/programs-degrees/graduate-degrees.html
master's	Counseling	https://www.csueastbay.edu/epsy/graduate-programs/index.html
master's	Curriculum & Instruction	https://www.csueastbay.edu/ted/programs-admissions/masters/index.html
master's	Early Childhood Education	https://www.csueastbay.edu/ted/programs-admissions/masters/index.html
master's	Educational Leadership	https://www.csueastbay.edu/el/programs/master-in-el.html
master's	Educational Technology	https://www.csueastbay.edu/ted/programs-admissions/masters/index.html
master's	Engineering Management	https://www.csueastbay.edu/engineering/programs-degrees/graduate-degrees.html
master's	Environmental Geosciences	https://www.csueastbay.edu/earth/graduate-program/index.html
master's	Health Care Administration	https://www.csueastbay.edu/paa/healthcare/index.html
master's	History	https://www.csueastbay.edu/history/degree-programs/ma-degree-programs_new.html
master's	Hospitality, Recreation, & Tourism	https://www.csueastbay.edu/hrt/grad/index.html
master's	Interaction Design	https://ixdia.org
master's	Kinesiology	https://www.csueastbay.edu/kin/programs/ms-kinesiology.html
master's	Marine Science	https://www.csueastbay.edu/biology/graduate-program/ms-in-marine-sciences.html
master's	Marketing Analytics	https://www.csueastbay.edu/msma/index.html
master's	Mathematics	https://www.csueastbay.edu/math/degrees-and-programs/index.html
master's	Music	https://www.csueastbay.edu/music/prospective/ma.html
master's	Nursing	https://www.csueastbay.edu/nursing/msn-programs/index.html
master's	Public Administration	https://www.csueastbay.edu/paa/public-admin/index.html
master's	Reading and Literacy	https://www.csueastbay.edu/ted/programs-admissions/masters/reading-cert1.html
master's	Social Work	https://www.csueastbay.edu/sw/apply-to-msw.html
master's	Special Education	https://www.csueastbay.edu/cssc/prospective-cred-student/special-education.html
master's	Speech-Language Pathology	https://www.csueastbay.edu/slhs/masters-in-speech-language-pathology/index.html
master's	Statistics	https://www.csueastbay.edu/statistics/degrees-programs/index.html
doctoral	Ed.D. Educational Leadership	https://www.csueastbay.edu/edd/index.html
credential	Administrative Services Credential Clear Induction	https://www.csueastbay.edu/el/programs/clear-admin-services-cred.html
credential	Education Specialist	https://www.csueastbay.edu/cssc/prospective-cred-student/special-education.html
credential	Multi-subject Teaching	https://www.csueastbay.edu/cssc/prospective-cred-student/multiple-subject.html
credential	Preliminary Administrative Services (PASC)	https://www.csueastbay.edu/el/programs/prelim-admin-services.html
credential	PPS School Counseling	https://www.csueastbay.edu/epsy/graduate-programs/school-counseling.html
credential	PPS School Psychology	https://www.csueastbay.edu/school-psychology/prospective-students.html
credential	Single-subject Teaching	https://www.csueastbay.edu/cssc/prospective-cred-student/single-subject.html
credential	Speech Language Pathology Services	https://www.csueastbay.edu/slhs/masters-in-speech-language-pathology/index.html
certificate	Applied Statistics	https://www.csueastbay.edu/statistics/degrees-programs/index.html
certificate	Biotechnology	https://www.csueastbay.edu/biology/graduate-program/biotechnology-certificate-program-bcp/index.html
certificate	Educational Technology	https://catalog.csueastbay.edu/preview_program.php?catoid=39&poid=18263&returnto=36991
certificate	Pre-Professional Health Academic Program (PHAP)	https://www.csueastbay.edu/phaprogram/
certificate	Mathematics, Single Subject Matter	https://www.csueastbay.edu/math/degrees-and-programs/index.html
certificate	Music Single Subject Matter Preparation	https://www.csueastbay.edu/music/prospective/music-ed.html
certificate	Theoretical Statistics	https://www.csueastbay.edu/statistics/degrees-programs/index.html
